Mainfile,Formula,Entry_id
AminoAcids/glu/Dipeptide/Ba/conf_0047/FHIaims.out,BaC8H13N2O4,---sV-GhvU9x9aLIxYIaSaRRMYb7
AminoAcids/argH/Dipeptide/bare/conf_0855/FHIaims.out,C9H20N5O2,--6kkazavrym5kv8a9t9i9xFsVUY
AminoAcids/lysH/Dipeptide/bare/conf_0528/FHIaims.out,C9H20N3O2,--DqMR6pHAuouHktSJGR58iTBYmm
AminoAcids/lys/Dipeptide/bare/conf_1802/FHIaims.out,C9H19N3O2,--GsPYTZbOQDIzkGgdrzmr_40vc4
AminoAcids/met/Dipeptide/Ca/conf_0159/FHIaims.out,C8CaH16N2O2S,--PlSeBOD6yCTDHBSdgPE5cEdzof
AminoAcids/lysH/Dipeptide/Mg/conf_0419/FHIaims.out,C9H20MgN3O2,--nmYeI2uMvV53AB5MVDrcQgKtjT
AminoAcids/lysH/Dipeptide/Mg/conf_0223/FHIaims.out,C9H20MgN3O2,--pPMgpcwuM41ijnjPWcYec1s6f8
AminoAcids/arg/Dipeptide/Mg/conf_0624/FHIaims.out,C9H19MgN5O2,-0CJv_sz1it3PGl97RjrFmtD8u2m
AminoAcids/argH/Dipeptide/Ca/conf_0132/FHIaims.out,C9CaH20N5O2,-0DMGQIS9yKYETsuj0pMKQmfgjGO
AminoAcids/arg/Dipeptide/bare/conf_3849/FHIaims.out,C9H19N5O2,-0K_5CBU8guztgYhLTScQBg23fL0
AminoAcids/hisE/Dipeptide/bare/conf_0004/FHIaims.out,C9H14N4O2,-0WJmghZQUkpyqJerYBNDpiQOGrd
AminoAcids/trp/Dipeptide/bare/conf_0132/FHIaims.out,C14H17N3O2,-0XM5tjv_EItRncmSG6sOmbB6VxJ
AminoAcids/argH/Dipeptide/Mg/conf_0367/FHIaims.out,C9H20MgN5O2,-0m_VIkMDCAAAa4V5x0HB2P8VRHd
AminoAcids/arg/Dipeptide/bare/conf_2694/FHIaims.out,C9H19N5O2,-0v3070B49JUYO_Xig8H-Sd2tMcN
AminoAcids/arg/Dipeptide/Ca/conf_0388/FHIaims.out,C9CaH19N5O2,-0wg23G2A4iWRUNooKXgIxUhxGBY
AminoAcids/lysH/Dipeptide/bare/conf_0752/FHIaims.out,C9H20N3O2,-1MVvl1PRSJa9TPQI2in2cTkVuJg
AminoAcids/arg/Dipeptide/Mg/conf_0113/FHIaims.out,C9H19MgN5O2,-1ReBweObZrvySK_6usCM-bm3zBS
AminoAcids/arg/Dipeptide/Ca/conf_0434/FHIaims.out,C9CaH19N5O2,-1f0mo6NK5FLsPdZQ18jKFOH96Dq
AminoAcids/ile/Dipeptide/Mg/conf_0043/FHIaims.out,C9H18MgN2O2,-1mwJne2Jf41b3vP3pyttHOgaelc
AminoAcids/aspH/Dipeptide/bare/conf_0169/FHIaims.out,C7H12N2O4,-1pB2_2CY45YpxckTPjbF45wqH10
AminoAcids/cys/Dipeptide/bare/conf_0141/FHIaims.out,C6H12N2O2S,-2KcQrpNGmuJv8eahqFgo2FJTnzX
AminoAcids/argH/Dipeptide/bare/conf_0386/FHIaims.out,C9H20N5O2,-2KswpHJFLUXHFAnJFY8R0fyOnsZ
AminoAcids/arg/Dipeptide/Ba/conf_0370/FHIaims.out,BaC9H19N5O2,-2Pm-bSluRZTtACbmAbzjRbf8Te-
AminoAcids/lys/Dipeptide/Mg/conf_0152/FHIaims.out,C9H19MgN3O2,-2SdWkySTYT8MZOyZ6-pU-sOVwW3
AminoAcids/argH/Dipeptide/Mg/conf_0145/FHIaims.out,C9H20MgN5O2,-2qWQrVsBuoph64zC-WTFa-coCS2
AminoAcids/hisH/Dipeptide/Ca/conf_0072/FHIaims.out,C9CaH15N4O2,-2uUns8jKC7_6Z1kPyA24YFwq7U7
AminoAcids/argH/Dipeptide/bare/conf_0259/FHIaims.out,C9H20N5O2,-2zKCDKm-_1j8y_2ihWUfui0S43z
AminoAcids/arg/Dipeptide/Mg/conf_0345/FHIaims.out,C9H19MgN5O2,-35rowRyTMFxVgiiLbGsz6i1Aw24
AminoAcids/ser/Dipeptide/bare/conf_0065/FHIaims.out,C6H12N2O3,-3GnEhAEQebT6oqMtFlvGqw4q8vH
AminoAcids/lysH/Dipeptide/Ca/conf_0569/FHIaims.out,C9CaH20N3O2,-3X81Ka_Nk2rzFzPPY-ywtmVl-8b
AminoAcids/met/Dipeptide/Ca/conf_0149/FHIaims.out,C8CaH16N2O2S,-3fTHYxRY2dlIwNgNZCcZw8ty_yt
AminoAcids/arg/Dipeptide/bare/conf_1189/FHIaims.out,C9H19N5O2,-3k4YFYzXyQC87jQx83YkXEkWyuU
AminoAcids/lys/Dipeptide/bare/conf_1619/FHIaims.out,C9H19N3O2,-3p79vcgrMknR3TSgrBb_wExiAFF
AminoAcids/hisE/Dipeptide/bare/conf_0001/FHIaims.out,C9H14N4O2,-3s1-P8eJmVaKMXTnXk5vyv9P6KP
AminoAcids/asn/Dipeptide/Mg/conf_0021/FHIaims.out,C7H13MgN3O3,-45-OarnwNGTg0eSo02WjxhzJx6i
AminoAcids/lysH/Dipeptide/Mg/conf_0566/FHIaims.out,C9H20MgN3O2,-4BBjc80jB0_V7fQdckd3SocBcnz
AminoAcids/arg/Dipeptide/bare/conf_2273/FHIaims.out,C9H19N5O2,-4JnVGM9VDX2rv_TLFCObG0HnHEG
AminoAcids/gluH/Dipeptide/bare/conf_0296/FHIaims.out,C8H14N2O4,-4JytX4tDu5wVVoPUQfyof1h5Lu1
AminoAcids/argH/Dipeptide/Ba/conf_0374/FHIaims.out,BaC9H20N5O2,-4Qu4H69L-zW09yaZmGwZ2M7JVWY
AminoAcids/arg/Dipeptide/Mg/conf_0347/FHIaims.out,C9H19MgN5O2,-4i_uAzGFK-_TPrKHQqkVoRD6648
AminoAcids/aspH/Dipeptide/Ca/conf_0063/FHIaims.out,C7CaH12N2O4,-4sozwtaCAHn52BmYCc1Z_CZDsW3
AminoAcids/argH/Dipeptide/Mg/conf_0490/FHIaims.out,C9H20MgN5O2,-4xqsd0TYanxIZUOj316CGAJSMkW
AminoAcids/argH/Dipeptide/Mg/conf_0192/FHIaims.out,C9H20MgN5O2,-5WG1LLzvQ2Y70IFukg0Lw__j-7H
AminoAcids/arg/Dipeptide/bare/conf_3901/FHIaims.out,C9H19N5O2,-5dojZlySWRFqHWahhhTDOiMJJQK
AminoAcids/arg/Dipeptide/bare/conf_2972/FHIaims.out,C9H19N5O2,-5nZGlsrLfvBfndODb6K9TURfeqF
AminoAcids/aspH/Dipeptide/bare/conf_0133/FHIaims.out,C7H12N2O4,-6JwBIXU91ytivrWY_M1EJwFlp9S
AminoAcids/gluH/Dipeptide/bare/conf_0323/FHIaims.out,C8H14N2O4,-6dNoLTa2P0m4COXtIUNlhOXk9ss
AminoAcids/hisH/Dipeptide/Ca/conf_0066/FHIaims.out,C9CaH15N4O2,-7EfUE-oNhegSbExRcxl3cpsypQE
AminoAcids/argH/Dipeptide/bare/conf_0184/FHIaims.out,C9H20N5O2,-7lAi3LJjY51XdNicJ4h77khmyuf
AminoAcids/gluH/Dipeptide/bare/conf_0276/FHIaims.out,C8H14N2O4,-7mCzULItH8XsvOcs4kYonwGyd91
AminoAcids/arg/Dipeptide/Ca/conf_0549/FHIaims.out,C9CaH19N5O2,-7skzBIu3V30vVIIn92R5sS3Ni-c
AminoAcids/asp/Dipeptide/Ca/conf_0046/FHIaims.out,C7CaH11N2O4,-7tpa607bsyZi7ocsUVlfSH8s6gj
AminoAcids/phe/Dipeptide/bare/conf_0045/FHIaims.out,C12H16N2O2,-7y77OW8gqOzANZw6kVMU-4W8KQ2
AminoAcids/tyr/Dipeptide/Mg/conf_0052/FHIaims.out,C12H16MgN2O3,-87LPuJU-UlEYfadQA0bKlx49t5Z
AminoAcids/argH/Dipeptide/Ca/conf_0504/FHIaims.out,C9CaH20N5O2,-89Q-VN6b6OK_c02oGzW5vqO2EY0
AminoAcids/lysH/Dipeptide/Mg/conf_0564/FHIaims.out,C9H20MgN3O2,-8JX7c4nlcnihMgf-foSp0AXzF-h
AminoAcids/met/Dipeptide/Ca/conf_0117/FHIaims.out,C8CaH16N2O2S,-8RYFwk-_-0DyACL9Wl4cRqm2Ktf
AminoAcids/argH/Dipeptide/bare/conf_0015/FHIaims.out,C9H20N5O2,-8hus6-Jah-ZpegpNgmx6jPgiwGI
AminoAcids/argH/Dipeptide/Ba/conf_0237/FHIaims.out,BaC9H20N5O2,-8kSs5noJTZmkLwKo98Ju9M7vo4V
