Mainfile,Formula,Entry_ID,Upload_ID,Total_energy
AminoAcids/glu/Dipeptide/Ba/conf_0047/FHIaims.out,BaC8H13N2O4,---sV-GhvU9x9aLIxYIaSaRRMYb7,OhCdHFfSTLu8g6CGBISk4w,-244828.848890031
AminoAcids/argH/Dipeptide/bare/conf_0855/FHIaims.out,C9H20N5O2,--6kkazavrym5kv8a9t9i9xFsVUY,MTSFEw9oS1GRiY0LVMgOYw,-21201.159951367
AminoAcids/lysH/Dipeptide/bare/conf_0528/FHIaims.out,C9H20N3O2,--DqMR6pHAuouHktSJGR58iTBYmm,SXdit6b0RtibOeWIk3dulw,-18219.475813273
AminoAcids/lys/Dipeptide/bare/conf_1802/FHIaims.out,C9H19N3O2,--GsPYTZbOQDIzkGgdrzmr_40vc4,hSvqxrr0RjOhzwYU0stsOg,-18209.078054921
AminoAcids/met/Dipeptide/Ca/conf_0159/FHIaims.out,C8CaH16N2O2S,--PlSeBOD6yCTDHBSdgPE5cEdzof,oHhmKWH2RHyyq7I2_Zdtkg,-45055.995081935
AminoAcids/lysH/Dipeptide/Mg/conf_0419/FHIaims.out,C9H20MgN3O2,--nmYeI2uMvV53AB5MVDrcQgKtjT,SXdit6b0RtibOeWIk3dulw,-23653.964279817
AminoAcids/lysH/Dipeptide/Mg/conf_0223/FHIaims.out,C9H20MgN3O2,--pPMgpcwuM41ijnjPWcYec1s6f8,3mF4CEoTReGHEdeR4sFfnw,-23655.557421144
AminoAcids/arg/Dipeptide/Mg/conf_0624/FHIaims.out,C9H19MgN5O2,-0CJv_sz1it3PGl97RjrFmtD8u2m,NIDpEFBaRuiPEiQKAUxB7g,-26631.697036494
AminoAcids/argH/Dipeptide/Ca/conf_0132/FHIaims.out,C9CaH20N5O2,-0DMGQIS9yKYETsuj0pMKQmfgjGO,KChpT9gKRJKwo1_z8VjZ8Q,-39742.014256159
AminoAcids/arg/Dipeptide/bare/conf_3849/FHIaims.out,C9H19N5O2,-0K_5CBU8guztgYhLTScQBg23fL0,kPLqJx0rQOePWx7CIOW6LQ,-21190.047217219
AminoAcids/hisE/Dipeptide/bare/conf_0004/FHIaims.out,C9H14N4O2,-0WJmghZQUkpyqJerYBNDpiQOGrd,fQocMUCIRBST0UglsvLf4Q,-19618.774627449
